"CardCode","Resultado","HttpCode","Mensaje"
"C1014274284","OK","204","Actualizado"
"C1115728279","OK","204","Actualizado"
"C1120376989","OK","204","Actualizado"
"C1121958118","OK","204","Actualizado"
"C1004416445","OK","204","Actualizado"
"C1010122228","OK","204","Actualizado"
"C9434394","OK","204","Actualizado"
"C20748544","OK","204","Actualizado"
"C1121951466","OK","204","Actualizado"
"C17320931","OK","204","Actualizado"
"C65747268","OK","204","Actualizado"
"C1122678226","OK","204","Actualizado"
"C1121925671","OK","204","Actualizado"
"C37713180","OK","204","Actualizado"
"C1118544043","OK","204","Actualizado"
"C20915784","OK","204","Actualizado"
"C40395924","OK","204","Actualizado"
"C80239786","OK","204","Actualizado"
"C1006840327","OK","204","Actualizado"
"C38200868","OK","204","Actualizado"
"C21235976","OK","204","Actualizado"
"C12021206","OK","204","Actualizado"
"C40048960","OK","204","Actualizado"
"C295246","OK","204","Actualizado"
"C1121907593","OK","204","Actualizado"
"C40392883","OK","204","Actualizado"
"C21189827","OK","204","Actualizado"
"C1120570107","OK","204","Actualizado"
"C1121904099","OK","204","Actualizado"
"C11796199","OK","204","Actualizado"
"C52150944","OK","204","Actualizado"
"C51826804","OK","204","Actualizado"
"C1032410771","OK","204","Actualizado"
"C51761604","OK","204","Actualizado"
"C1122651569","OK","204","Actualizado"
"C1127386015","OK","204","Actualizado"
"C1120361642","OK","204","Actualizado"
"C1035436395","OK","204","Actualizado"
"C1121844338","OK","204","Actualizado"
"C21207663","OK","204","Actualizado"
"C1122119747","OK","204","Actualizado"
"C13873902","OK","204","Actualizado"
"C1019152196","OK","204","Actualizado"
"C1120356420","OK","204","Actualizado"
"C1120574319","OK","204","Actualizado"
"C1122124473","OK","204","Actualizado"
"C30001150","OK","204","Actualizado"
"C44005088","OK","204","Actualizado"
"C40404861","OK","204","Actualizado"
"C40367949","OK","204","Actualizado"
"C39543783","OK","204","Actualizado"
"C1121148756","OK","204","Actualizado"
"C1127454696","OK","204","Actualizado"
"C1121824242","OK","204","Actualizado"
"C17336453","OK","204","Actualizado"
"C21233249","OK","204","Actualizado"
"C1121831604","OK","204","Actualizado"
"C39705860","OK","204","Actualizado"
"C35263638","OK","204","Actualizado"
"C74753884","OK","204","Actualizado"
"C17293022","OK","204","Actualizado"
"C40398025","OK","204","Actualizado"
"C30982013","OK","204","Actualizado"
"C1049628715","OK","204","Actualizado"
"C1118554193","OK","204","Actualizado"
"C1116666093","OK","204","Actualizado"
"C79565209","OK","204","Actualizado"
"C1052383207","OK","204","Actualizado"
"C1033787521","OK","204","Actualizado"
"C1122131890","OK","204","Actualizado"
"C15875930","OK","204","Actualizado"
"C14139726","OK","204","Actualizado"
"C23418057","OK","204","Actualizado"
"C1121822782","OK","204","Actualizado"
"C1121838201","OK","204","Actualizado"
"C1006721375","OK","204","Actualizado"
"C17311126","OK","204","Actualizado"
"C1096237177","OK","204","Actualizado"
"C17417521","OK","204","Actualizado"
"C1019102982","OK","204","Actualizado"
"C1119889423","OK","204","Actualizado"
"C1119890191","OK","204","Actualizado"
"C1121868009","OK","204","Actualizado"
"C86048481","OK","204","Actualizado"
"C1118568556","OK","204","Actualizado"
"C1121839043","OK","204","Actualizado"
"C17328930","OK","204","Actualizado"
"C21181411","OK","204","Actualizado"
"C17300637","OK","204","Actualizado"
"C74375759","OK","204","Actualizado"
"C63531278","OK","204","Actualizado"
"C47438593","OK","204","Actualizado"
"C72191679","OK","204","Actualizado"
"C80775441","OK","204","Actualizado"
"C93061201","OK","204","Actualizado"
"C86076213","OK","204","Actualizado"
"C900161116","OK","204","Actualizado"
"C1121845074","OK","204","Actualizado"
"C80527746","OK","204","Actualizado"
"C91513449","OK","204","Actualizado"
"C52692527","OK","204","Actualizado"
"C80156426","OK","204","Actualizado"
"C1120873529","OK","204","Actualizado"
"C88203979","OK","204","Actualizado"
"C51977720","OK","204","Actualizado"
"C86063845","OK","204","Actualizado"
