"CardCode","Resultado","HttpCode","Mensaje"
"C1014274284","DRY-RUN","","No aplicado"
"C1115728279","DRY-RUN","","No aplicado"
"C1120376989","DRY-RUN","","No aplicado"
"C1121958118","DRY-RUN","","No aplicado"
"C1004416445","DRY-RUN","","No aplicado"
"C1010122228","DRY-RUN","","No aplicado"
"C9434394","DRY-RUN","","No aplicado"
"C20748544","DRY-RUN","","No aplicado"
"C1121951466","DRY-RUN","","No aplicado"
"C17320931","DRY-RUN","","No aplicado"
"C65747268","DRY-RUN","","No aplicado"
"C1122678226","DRY-RUN","","No aplicado"
"C1121925671","DRY-RUN","","No aplicado"
"C37713180","DRY-RUN","","No aplicado"
"C1118544043","DRY-RUN","","No aplicado"
"C20915784","DRY-RUN","","No aplicado"
"C40395924","DRY-RUN","","No aplicado"
"C80239786","DRY-RUN","","No aplicado"
"C1006840327","DRY-RUN","","No aplicado"
"C38200868","DRY-RUN","","No aplicado"
"C21235976","DRY-RUN","","No aplicado"
"C12021206","DRY-RUN","","No aplicado"
"C40048960","DRY-RUN","","No aplicado"
"C295246","DRY-RUN","","No aplicado"
"C1121907593","DRY-RUN","","No aplicado"
"C40392883","DRY-RUN","","No aplicado"
"C21189827","DRY-RUN","","No aplicado"
"C1120570107","DRY-RUN","","No aplicado"
"C1121904099","DRY-RUN","","No aplicado"
"C11796199","DRY-RUN","","No aplicado"
"C52150944","DRY-RUN","","No aplicado"
"C51826804","DRY-RUN","","No aplicado"
"C1032410771","DRY-RUN","","No aplicado"
"C51761604","DRY-RUN","","No aplicado"
"C1122651569","DRY-RUN","","No aplicado"
"C1127386015","DRY-RUN","","No aplicado"
"C1120361642","DRY-RUN","","No aplicado"
"C1035436395","DRY-RUN","","No aplicado"
"C1121844338","DRY-RUN","","No aplicado"
"C21207663","DRY-RUN","","No aplicado"
"C1122119747","DRY-RUN","","No aplicado"
"C13873902","DRY-RUN","","No aplicado"
"C1019152196","DRY-RUN","","No aplicado"
"C1120356420","DRY-RUN","","No aplicado"
"C1120574319","DRY-RUN","","No aplicado"
"C1122124473","DRY-RUN","","No aplicado"
"C30001150","DRY-RUN","","No aplicado"
"C44005088","DRY-RUN","","No aplicado"
"C40404861","DRY-RUN","","No aplicado"
"C40367949","DRY-RUN","","No aplicado"
"C39543783","DRY-RUN","","No aplicado"
"C1121148756","DRY-RUN","","No aplicado"
"C1127454696","DRY-RUN","","No aplicado"
"C1121824242","DRY-RUN","","No aplicado"
"C17336453","DRY-RUN","","No aplicado"
"C21233249","DRY-RUN","","No aplicado"
"C1121831604","DRY-RUN","","No aplicado"
"C39705860","DRY-RUN","","No aplicado"
"C35263638","DRY-RUN","","No aplicado"
"C74753884","DRY-RUN","","No aplicado"
"C17293022","DRY-RUN","","No aplicado"
"C40398025","DRY-RUN","","No aplicado"
"C30982013","DRY-RUN","","No aplicado"
"C1049628715","DRY-RUN","","No aplicado"
"C1118554193","DRY-RUN","","No aplicado"
"C1116666093","DRY-RUN","","No aplicado"
"C79565209","DRY-RUN","","No aplicado"
"C1052383207","DRY-RUN","","No aplicado"
"C1033787521","DRY-RUN","","No aplicado"
"C1122131890","DRY-RUN","","No aplicado"
"C15875930","DRY-RUN","","No aplicado"
"C14139726","DRY-RUN","","No aplicado"
"C23418057","DRY-RUN","","No aplicado"
"C1121822782","DRY-RUN","","No aplicado"
"C1121838201","DRY-RUN","","No aplicado"
"C1006721375","DRY-RUN","","No aplicado"
"C17311126","DRY-RUN","","No aplicado"
"C1096237177","DRY-RUN","","No aplicado"
"C17417521","DRY-RUN","","No aplicado"
"C1019102982","DRY-RUN","","No aplicado"
"C1119889423","DRY-RUN","","No aplicado"
"C1119890191","DRY-RUN","","No aplicado"
"C1121868009","DRY-RUN","","No aplicado"
"C86048481","DRY-RUN","","No aplicado"
"C1118568556","DRY-RUN","","No aplicado"
"C1121839043","DRY-RUN","","No aplicado"
"C17328930","DRY-RUN","","No aplicado"
"C21181411","DRY-RUN","","No aplicado"
"C17300637","DRY-RUN","","No aplicado"
"C74375759","DRY-RUN","","No aplicado"
"C63531278","DRY-RUN","","No aplicado"
"C47438593","DRY-RUN","","No aplicado"
"C72191679","DRY-RUN","","No aplicado"
"C80775441","DRY-RUN","","No aplicado"
"C93061201","DRY-RUN","","No aplicado"
"C86076213","DRY-RUN","","No aplicado"
"C900161116","DRY-RUN","","No aplicado"
"C1121845074","DRY-RUN","","No aplicado"
"C80527746","DRY-RUN","","No aplicado"
"C91513449","DRY-RUN","","No aplicado"
"C52692527","DRY-RUN","","No aplicado"
"C80156426","DRY-RUN","","No aplicado"
"C1120873529","DRY-RUN","","No aplicado"
"C88203979","DRY-RUN","","No aplicado"
"C51977720","DRY-RUN","","No aplicado"
"C86063845","DRY-RUN","","No aplicado"
"C86074296","DRY-RUN","","No aplicado"
"C86088950","DRY-RUN","","No aplicado"
"C46354501","DRY-RUN","","No aplicado"
"C1121880295","DRY-RUN","","No aplicado"
